QuestionNumber | Module | TopicCode | TopicName | AssessmentCriterion | QuestionType | Stem | OptionA | OptionB | OptionC | OptionD | OptionE | CorrectAnswer | Marks | BloomLevel
1 | KM-01 | KT0101 | Introduction to the Fitting & Turning Trade | Responsibilities and work setting | MCQ | Which statement best describes the primary responsibilities of a fitter and turner? | They only operate CNC machines | They only perform welding tasks | They maintain, repair and install mechanical components | They work exclusively with electrical systems | They only do machining work | C | 1 | Understand
2 | KM-01 | KT0101 | Introduction to the Fitting & Turning Trade | Responsibilities and work setting | TF | A fitter and turner is responsible for maintaining and repairing mechanical assemblies. | True | False |  |  |  | A | 1 | Remember
3 | KM-01 | KT0101 | Introduction to the Fitting & Turning Trade | Responsibilities and work setting | MCQ | In which type of industries can a qualified fitter and turner work? | Only automotive | Only mining | A wide range of industries requiring mechanical maintenance | Only manufacturing | Only construction | C | 1 | Understand
4 | KM-01 | KT0101 | Introduction to the Fitting & Turning Trade | Responsibilities and work setting | TF | Fitter and turners only work on new equipment and never repair old machinery. | True | False |  |  |  | B | 1 | Understand
5 | KM-01 | KT0101 | Introduction to the Fitting & Turning Trade | Occupational profile | MCQ | Which option best describes the occupational profile of a fitter and turner? | A person who installs electrical wiring | A person who maintains and repairs mechanical systems | A person who designs engineering software | A person who supervises construction sites | A person who only operates forklifts | B | 1 | Understand
6 | KM-01 | KT0101 | Introduction to the Fitting & Turning Trade | Occupational profile | TF | The occupational profile of a fitter and turner includes machining, maintenance and installation tasks. | True | False |  |  |  | A | 1 | Remember
7 | KM-01 | KT0101 | Introduction to the Fitting & Turning Trade | Occupational profile | MCQ | Which skill is essential for a fitter and turner? | Advanced programming | Mechanical hand skills | Chemical analysis | Electrical design | Accounting | B | 1 | Understand
8 | KM-01 | KT0101 | Introduction to the Fitting & Turning Trade | Occupational profile | TF | A fitter and turner must understand mechanical drawings and specifications. | True | False |  |  |  | A | 1 | Apply
9 | KM-01 | KT0101 | Introduction to the Fitting & Turning Trade | Legislation | MCQ | Which legislation is most relevant to apprentices in the fitting and turning trade? | Labour Relations Act | Occupational Health and Safety Act | National Credit Act | Basic Education Act | Consumer Protection Act | B | 1 | Remember
10 | KM-01 | KT0101 | Introduction to the Fitting & Turning Trade | Legislation | TF | Apprentices must comply with workplace safety legislation at all times. | True | False |  |  |  | A | 1 | Understand
11 | KM-01 | KT0101 | Introduction to the Fitting & Turning Trade | Legislation | MCQ | What is the purpose of legislation related to apprentices? | To limit workplace learning | To ensure safe and fair training conditions | To reduce training costs | To replace formal education | To remove employer responsibility | B | 1 | Understand
12 | KM-01 | KT0101 | Introduction to the Fitting & Turning Trade | Legislation | TF | Legislation protects both the apprentice and the employer. | True | False |  |  |  | A | 1 | Understand
13 | KM-01 | KT0101 | Introduction to the Fitting & Turning Trade | Responsibilities and work setting | MCQ | Which activity forms part of a fitter and turner?s daily tasks? | Writing financial statements | Repairing mechanical assemblies | Conducting legal audits | Managing HR files | Teaching mathematics | B | 1 | Understand
14 | KM-01 | KT0101 | Introduction to the Fitting & Turning Trade | Responsibilities and work setting | TF | Fitter and turners often work with rotating machinery. | True | False |  |  |  | A | 1 | Remember
15 | KM-01 | KT0101 | Introduction to the Fitting & Turning Trade | Occupational profile | MCQ | Which attribute is important for a fitter and turner? | Strong mechanical reasoning | Advanced legal knowledge | High-level chemistry skills | Graphic design skills | Marketing skills | A | 1 | Understand
16 | KM-01 | KT0101 | Introduction to the Fitting & Turning Trade | Occupational profile | TF | A fitter and turner must be able to work independently and in teams. | True | False |  |  |  | A | 1 | Apply
17 | KM-01 | KT0101 | Introduction to the Fitting & Turning Trade | Legislation | MCQ | Which statement is TRUE regarding apprentice legislation? | It is optional | It ensures safe working conditions | It only applies to supervisors | It only applies to large companies | It replaces training manuals | B | 1 | Understand
18 | KM-01 | KT0101 | Introduction to the Fitting & Turning Trade | Legislation | TF | Apprenticeship legislation includes rules about workplace safety. | True | False |  |  |  | A | 1 | Remember
19 | KM-01 | KT0101 | Introduction to the Fitting & Turning Trade | Responsibilities and work setting | MCQ | Which environment is typical for a fitter and turner? | Office cubicle | Mechanical workshop | Retail store | Hospital ward | Call centre | B | 1 | Understand
20 | KM-01 | KT0101 | Introduction to the Fitting & Turning Trade | Responsibilities and work setting | TF | Fitter and turners must follow technical specifications when repairing equipment. | True | False |  |  |  | A | 1 | Apply
21 | KM-01 | KT0201 | Workplace Health, Safety & Environmental Protection | Safe work practices | MCQ | What is the primary purpose of occupational health and safety legislation? | To punish workers | To ensure safe working environments | To reduce salaries | To increase production only | To remove employer responsibility | B | 1 | Understand
22 | KM-01 | KT0201 | Workplace Health, Safety & Environmental Protection | Safe work practices | TF | OHS legislation exists to protect both employees and employers. | True | False |  |  |  | A | 1 | Remember
23 | KM-01 | KT0202 | Workplace Health, Safety & Environmental Protection | Workshop safety rules | MCQ | Which of the following is a general workshop safety rule? | Running in the workshop is allowed | Always wear appropriate PPE | Ignore warning signs | Use damaged tools if necessary | Store chemicals anywhere | B | 1 | Understand
24 | KM-01 | KT0202 | Workplace Health, Safety & Environmental Protection | Workshop safety rules | TF | Tools must be inspected before use to ensure they are safe. | True | False |  |  |  | A | 1 | Apply
25 | KM-01 | KT0204 | Workplace Health, Safety & Environmental Protection | Safety symbols | MCQ | What does a yellow triangular sign typically indicate? | Mandatory action | Prohibition | Warning or caution | Safe condition | Fire equipment | C | 1 | Remember
26 | KM-01 | KT0204 | Workplace Health, Safety & Environmental Protection | Safety symbols | TF | A red circular sign with a diagonal line indicates ?Do Not?. | True | False |  |  |  | A | 1 | Remember
27 | KM-01 | KT0205 | Workplace Health, Safety & Environmental Protection | PPE | MCQ | Which PPE is required when grinding metal? | Hard hat only | Safety goggles or face shield | Earplugs only | Welding helmet | Respirator only | B | 1 | Apply
28 | KM-01 | KT0205 | Workplace Health, Safety & Environmental Protection | PPE | TF | PPE must be selected based on the specific hazards of the task. | True | False |  |  |  | A | 1 | Understand
29 | KM-01 | KT0206 | Workplace Health, Safety & Environmental Protection | Hazard identification | MCQ | What is the first step in hazard identification? | Ignoring minor hazards | Reporting only serious hazards | Observing the work environment | Waiting for an accident | Asking a coworker | C | 1 | Understand
30 | KM-01 | KT0206 | Workplace Health, Safety & Environmental Protection | Hazard identification | TF | A hazard is anything with the potential to cause harm. | True | False |  |  |  | A | 1 | Remember
31 | KM-01 | KT0206 | Workplace Health, Safety & Environmental Protection | Risk assessment | MCQ | Risk is defined as: | The chance of harm occurring | A guaranteed accident | A minor inconvenience | A type of PPE | A type of tool | A | 1 | Understand
32 | KM-01 | KT0206 | Workplace Health, Safety & Environmental Protection | Risk assessment | TF | Risk assessment helps determine the likelihood and severity of harm. | True | False |  |  |  | A | 1 | Understand
33 | KM-01 | KT0207 | Workplace Health, Safety & Environmental Protection | Securing worksites | MCQ | Why must a worksite be secured before starting a task? | To impress supervisors | To prevent unauthorized access and accidents | To reduce paperwork | To avoid cleaning | To increase noise levels | B | 1 | Apply
34 | KM-01 | KT0207 | Workplace Health, Safety & Environmental Protection | Securing worksites | TF | Barricades and warning signs help prevent accidents. | True | False |  |  |  | A | 1 | Remember
